1........a......n..........b.....n..2........c....n............d...n....3........e..n..............f.n......4........sn...............xn........5.......n................n.....6..........n................n..7.............n................ng...............n................n
m,1,x,20
m,2,x,20
m,12,x,-20
m,6,x,20
m,18,x,-20
m,3,x,20
m,11,x,-20
m,13,x,-20
m,14,x,-20
m,15,x,-20
m,4,x,20
m,5,x,20
m,7,x,20
m,8,x,20
m,16,x,-20
m,17,x,-20
m,11,x,-20
m,7,x,20
m,12,x,-20
m,5,x,20
m,8,x,20
m,6,x,20
m,18,x,-20
m,16,x,-20
m,2,x,20
m,3,x,20
m,14,x,-20
m,15,x,-20
m,4,y,-20
m,17,x,-20
m,1,x,20
m,13,x,-20
m,12,x,-20
m,11,x,-20
m,8,x,20
m,6,x,20
m,7,x,20
m,3,x,20
m,5,x,20
m,16,x,-20
m,13,x,-20
m,2,x,20
m,18,x,-20
m,14,x,-20
m,1,x,20
m,15,x,-20
m,17,x,-20
m,12,x,-20
m,11,x,-20
m,2,x,20
m,3,y,-20
m,6,x,20
m,7,x,20
m,5,x,20
m,18,y,20
m,8,x,20
m,13,x,-20
m,1,x,20
m,16,x,-20
m,14,x,-20
k,18,
m,2,y,-20
m,7,y,-20
m,5,y,-20
k,2,
m,12,x,-20
m,3,y,-20
m,1,x,20
m,17,y,20
m,15,x,-20
k,1,
m,8,x,20
k,3,
k,17,
m,4,y,-20
m,6,y,-20
m,11,x,20
m,16,x,-20
m,13,y,20
m,14,x,-20
m,5,x,-20
m,12,x,20
m,7,x,20
m,15,x,-20
m,8,x,20
m,4,y,-20
k,4,
m,11,x,20
m,6,y,-20
m,12,x,20
m,16,x,20
m,13,x,20
m,14,x,20
m,5,x,-20
m,8,x,20
m,7,x,20
m,11,x,20
m,15,x,20
m,6,x,20
m,16,y,20
m,12,x,20
m,5,y,-20
m,11,x,20
k,5,
m,14,x,20
m,7,x,20
m,8,x,20
m,6,y,-20
m,15,x,20
m,14,x,20
m,12,x,20
m,11,x,20
m,16,y,20
k,6,
m,7,x,20
m,13,x,20
m,8,x,20
m,11,y,20
m,15,y,20
m,12,x,20
m,16,y,20
m,7,y,-20
m,8,x,20
m,14,y,20
m,13,x,20
m,16,y,20
m,15,y,20
m,8,y,-20
m,12,y,20
m,7,y,-20
m,14,y,20
k,16,
m,13,y,20
m,7,y,-20
m,8,y,-20
m,15,y,20
m,8,y,-20
m,7,y,-20
m,12,y,20
k,7,
m,15,y,20
m,14,y,20
m,11,y,20
m,8,y,-20
m,13,y,20
m,15,y,20
m,14,y,20
m,12,y,20
m,13,y,20
m,15,y,20
m,8,y,-20
m,14,y,20
m,8,y,-20
m,11,y,20
m,12,y,20
k,8,
m,1,x,20
m,2,x,20
m,12,x,-20
m,6,x,20
m,18,x,-20
m,3,x,20
m,11,x,-20
m,13,x,-20
m,14,x,-20
m,15,x,-20
m,4,x,20
m,5,x,20
m,7,x,20
m,8,x,20
m,16,x,-20
m,17,x,-20
m,11,x,-20
m,7,x,20
m,12,x,-20
m,5,x,20
m,8,x,20
m,6,x,20
m,18,x,-20
m,16,x,-20
m,2,x,20
m,3,x,20
m,14,x,-20
m,15,x,-20
m,4,y,-20
m,17,x,-20
m,1,x,20
m,13,x,-20
m,12,x,-20
m,11,x,-20
m,8,x,20
m,6,x,20
m,7,x,20
m,3,x,20
m,5,x,20
m,16,x,-20
m,13,x,-20
m,2,x,20
m,18,x,-20
m,14,x,-20
m,1,x,20
m,15,x,-20
m,17,x,-20
m,12,x,-20
m,11,x,-20
m,2,x,20
m,3,y,-20
m,6,x,20
m,7,x,20
m,5,x,20
m,11,y,20
m,8,x,20
m,13,x,-20
m,1,x,20
m,16,x,-20
m,14,x,-20
k,18,
m,2,y,-20
m,7,y,-20
m,5,y,-20
k,2,
m,3,y,-20
m,1,x,20
m,11,y,20
m,15,x,-20
k,1,
m,8,x,20
k,3,
k,17,
m,4,y,-20
m,6,y,-20
m,11,x,20
m,16,x,-20
m,11,y,20
m,14,x,-20
m,5,x,-20
m,12,x,20
m,7,x,20
m,15,x,-20
m,8,x,20
m,4,y,-20
k,4,
m,6,y,-20
m,12,x,20
m,16,x,20
m,13,x,20
m,14,x,20
m,5,x,-20
m,8,x,20
m,7,x,20
m,11,x,20
m,15,x,20
m,6,x,20
m,11,y,20
m,12,x,20
m,5,y,-20
m,11,x,20
k,5,
m,14,x,20
m,7,x,20
m,8,x,20
m,6,y,-20
m,15,x,20
m,14,x,20
m,12,x,20
m,11,x,20
m,11,y,20
k,6,
m,7,x,20
m,13,x,20
m,8,x,20
m,11,y,20
m,11,y,20
m,12,x,20
m,11,y,20
m,7,y,-20
m,8,x,20
m,11,y,20
m,13,x,20
m,11,y,20
m,11,y,20
m,8,y,-20
m,11,y,20
m,7,y,-20
m,11,y,20
k,16,
m,11,y,20
m,7,y,-20
m,8,y,-20
m,11,y,20
m,8,y,-20
m,7,y,-20
k,7,
m,8,y,-20
m,8,y,-20
m,8,y,-20
k,8,
